13435,8,1,1,2021,30,14909732,2334864,642088,1167432,700459,817202,175115,972860,2270007,432382,1080956
7784,8,1,1,2019,30,7398935,1158673,318635,579337,347602,405536,86900,482780,1126488,214569,536423
4672,8,1,1,2019,30,4947414,774765,213060,387382,232429,271168,58107,322819,753244,143475,358687
10000,8,1,1,2019,30,8917289,1396448,384023,698224,418934,488757,104734,581853,1357657,258601,646503
9200,8,1,1,2019,30,8323354,1303437,358445,651719,391031,456203,97758,543099,1267231,241377,603443
6320,8,1,1,2019,30,6146488,962540,264699,481270,288762,336889,72191,401058,935803,178248,445620
8264,8,1,1,2019,30,7623116,1193780,328289,596890,358134,417823,89533,497408,1160619,221070,552676
4200,8,1,1,2019,30,4478861,701390,192882,350695,210417,245486,52604,292246,681907,129887,324717
7563,8,1,1,2019,30,7095751,1111195,305578,555597,333358,388918,83340,462998,1080328,205777,514442
6450,8,1,1,2019,30,6245314,978016,268954,489008,293405,342306,73351,407507,950849,181114,452785
11200,8,1,1,2019,30,9798803,1534493,421985,767246,460348,537072,115087,639372,1491868,284165,710413
6000,8,1,1,2019,30,5898784,923750,254031,461875,277125,323312,69281,384896,898090,171065,427662
5350,6,1,1,2019,30,5121621,802046,220563,401023,240614,280716,60153,334186,779767,148527,371318
4600,6,1,1,2019,30,4548125,712236,195865,356118,213671,249283,53418,296765,692452,131896,329739
10000,6,1,1,2019,30,8547938,1338607,368117,669304,401582,468513,100396,557753,1301424,247890,619726
8546,6,1,1,2021,30,9424933,1475945,405885,737972,442783,516581,110696,614977,1434946,273323,683308
11260,6,1,1,2021,30,11888085,1861674,511960,930837,558502,651586,139626,775698,1809961,344754,861886
3655,6,1,1,2021,30,4796066,751064,206543,375532,225319,262872,56330,312943,730201,139086,347715
10200,6,1,1,2021,30,10932741,1712067,470818,856034,513620,599224,128405,713361,1664510,317049,792624
5320,6,1,1,2021,30,6414776,1004554,276252,502277,301366,351594,75342,418564,976650,186029,465071
7540,6,1,1,2021,30,8499356,1330999,366025,665500,399300,465850,99825,554583,1294027,246481,616203
4900,6,1,1,2021,30,6011237,941360,258874,470680,282408,329476,70602,392233,915211,174326,435815
7652,6,1,1,2021,30,8602144,1347096,370451,673548,404129,471483,101032,561290,1309676,249462,623655
3200,6,1,1,2021,30,4341371,679859,186961,339929,203958,237951,50989,283274,660974,125900,314749
2460,5,1,1,2021,30,3430121,537157,147718,268578,161147,188005,40287,223815,522236,99474,248684
2800,5,1,1,2021,30,3771424,590605,162416,295302,177181,206712,44295,246085,574199,109371,273428
3560,5,1,1,2021,30,4515848,707182,194475,353591,212155,247514,53039,294659,687538,130960,327399
3480,5,1,1,2021,30,4439706,695258,191196,347629,208577,243340,52144,289691,675945,128751,321879
4000,5,1,1,2021,30,4939903,773589,212737,386794,232077,270756,58019,322329,752100,143257,358143
4365,5,1,1,2021,30,5288089,828115,227732,414057,248434,289840,62109,345048,805112,153355,383386
5000,5,1,1,2021,30,5887943,922052,253564,461026,276616,322718,69154,384188,896439,170750,426876
5698,5,1,1,2021,30,6540064,1024174,281648,512087,307252,358461,76813,426739,995725,189662,474155
6000,5,1,1,2021,30,6820033,1068017,293705,534009,320405,373806,80101,445007,1038350,197781,494452
6546,5,1,1,2021,30,7322518,1146706,315344,573353,344012,401347,86003,477794,1114853,212353,530883
7000,5,1,1,2021,30,7737949,1211763,333235,605881,363529,424117,90882,504901,1178103,224401,561001
7468,5,1,1,2021,30,8164104,1278499,351587,639249,383550,447475,95887,532708,1242985,236759,591898
8200,5,1,1,2021,30,8828462,1382537,380198,691269,414761,483888,103690,576057,1344133,256025,640063
8756,5,1,1,2021,30,9328088,1460779,401714,730389,438234,511272,109558,608658,1420201,270515,676286
9125,5,1,1,2021,30,9659948,1512748,416006,756374,453824,529462,113456,630312,1470727,280138,700346
9438,5,1,1,2021,30,9939478,1556522,428044,778261,466957,544783,116739,648551,1513286,288245,720612
10000,5,1,1,2021,30,10442081,1635230,449688,817615,490569,572330,122642,681346,1589807,302820,757051
10450,5,1,1,2021,30,10841942,1697848,466908,848924,509354,594247,127339,707437,1650686,314416,786041
4000,5,2,1,2019,30,7780692,1218456,335076,609228,365537,426460,91384,507690,1184610,225640,564100
5230,5,2,1,2019,30,9553670,1496105,411429,748052,448831,523637,112208,623377,1454546,277056,692641
7200,5,2,1,2019,30,12304553,1926893,529896,963446,578068,674413,144517,802872,1873368,356832,892080
8920,5,2,1,2019,30,15334186,2401333,660367,1200667,720400,840467,180100,1000556,2334630,444691,1111728
10230,5,2,1,2019,30,16397090,2567784,706141,1283892,770335,898725,192584,1069910,2496457,475516,1188789
12600,5,2,1,2019,30,19520503,3056911,840650,1528455,917073,1069919,229268,1273713,2971997,566095,1415236
4350,6,2,1,2019,30,8815,1380,380,690,414,483,104,575,1342,256,639
4790,6,2,1,2019,30,9924067,1554109,427380,777054,466233,543938,116558,647545,1510939,287798,719495
5000,6,2,1,2019,30,10248334,1604889,441344,802445,481467,561711,120367,668704,1560309,297202,743004
5943,6,2,1,2019,30,11698546,1831992,503798,915996,549598,641197,137399,763330,1781104,339258,848145
6384,6,2,1,2019,30,12367006,1936673,532585,968337,581002,677836,145250,806947,1882877,358643,896608
7000,6,2,1,2019,30,13289381,2081117,572307,1040559,624335,728391,156084,867132,2023308,385392,963480
7943,6,2,1,2019,30,14688310,2300189,632552,1150095,690057,805066,172514,958412,2236295,425961,1064902
8240,6,2,1,2019,30,15126070,2368742,651404,1184371,710623,829060,177656,986976,2302944,438656,1096640
